split,task_mode_true,model_id,step,mode,mean_mode_prob,mean_gain,median_gain,top1_rate,selected_rate,productive_rate,count
holdout,range_local_scans,gpt-5.3-codex,1,caching,0.19,0.00873645990981875,0.00873645990981875,0.0,0.0,0.0,2
holdout,range_local_scans,gpt-5.3-codex,1,indexing,0.28500000000000003,0.9457921123900728,0.9457921123900728,1.0,1.0,1.0,2
holdout,range_local_scans,gpt-5.3-codex,1,layout,0.1,0.8700194146435547,0.8700194146435547,0.0,0.0,0.0,2
holdout,range_local_scans,gpt-5.3-codex,1,micro,0.08,0.04867055758889799,0.04867055758889799,0.0,0.0,0.0,2
holdout,range_local_scans,gpt-5.3-codex,1,summaries,0.215,-1.0368270248510618,-1.0368270248510618,0.0,0.0,0.0,2
holdout,range_local_scans,gpt-5.3-codex,1,topk,0.13,0.030524540105084985,0.030524540105084985,0.0,0.0,0.0,2
holdout,range_local_scans,gpt-5.3-codex-spark,1,caching,0.12666666666666668,-0.19657694077334678,-0.24168601734660267,0.0,0.0,0.0,3
holdout,range_local_scans,gpt-5.3-codex-spark,1,indexing,0.26666666666666666,0.9065528581556072,0.9317748210956818,1.0,1.0,0.6666666666666666,3
holdout,range_local_scans,gpt-5.3-codex-spark,1,layout,0.15333333333333335,0.8867245373822943,0.9226901669156148,0.0,0.0,0.3333333333333333,3
holdout,range_local_scans,gpt-5.3-codex-spark,1,micro,0.09000000000000001,0.009566366354424835,0.0031261628275927045,0.0,0.0,0.0,3
holdout,range_local_scans,gpt-5.3-codex-spark,1,summaries,0.23666666666666666,-1.4461856521319925,-1.4563071555778961,0.0,0.0,0.0,3
holdout,range_local_scans,gpt-5.3-codex-spark,1,topk,0.12666666666666668,0.03193498445435716,0.012577901212758036,0.0,0.0,0.0,3
holdout,topk_stress,gpt-5.3-codex,1,caching,0.16,-0.12271644152293565,-0.12271644152293565,0.0,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex,1,indexing,0.22999999999999998,0.6984674700249748,0.6984674700249748,0.0,0.0,0.5,2
holdout,topk_stress,gpt-5.3-codex,1,layout,0.055,-0.25330018332428766,-0.25330018332428766,0.0,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex,1,micro,0.095,-0.2513552409801786,-0.2513552409801786,0.0,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex,1,summaries,0.12,-0.645242558782267,-0.645242558782267,0.0,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex,1,topk,0.34,0.6407484414745497,0.6407484414745497,1.0,1.0,0.5,2
holdout,topk_stress,gpt-5.3-codex-spark,1,caching,0.18000000000000002,-0.06729909848369608,-0.031571546460092526,0.0,0.0,0.0,3
holdout,topk_stress,gpt-5.3-codex-spark,1,indexing,0.22,0.5186360820353128,0.6959513142792526,0.0,0.0,0.6666666666666666,3
holdout,topk_stress,gpt-5.3-codex-spark,1,layout,0.043333333333333335,0.5782774099055494,0.58544195631243,0.0,0.0,0.3333333333333333,3
holdout,topk_stress,gpt-5.3-codex-spark,1,micro,0.09333333333333334,0.014201994148345517,0.015004578061586726,0.0,0.0,0.0,3
holdout,topk_stress,gpt-5.3-codex-spark,1,summaries,0.12666666666666668,-1.3179272556053394,-1.0,0.0,0.0,0.0,3
holdout,topk_stress,gpt-5.3-codex-spark,1,topk,0.33666666666666667,0.02206540656181466,0.015545338999162772,1.0,1.0,0.0,3
pilot,range_local_scans,gpt-5.3-codex,1,caching,0.16,0.045189170531503065,0.045189170531503065,0.0,0.0,0.0,2
pilot,range_local_scans,gpt-5.3-codex,1,indexing,0.29,0.9454531920161164,0.9454531920161164,1.0,1.0,1.0,2
pilot,range_local_scans,gpt-5.3-codex,1,layout,0.095,0.8769862799871309,0.8769862799871309,0.0,0.0,0.0,2
pilot,range_local_scans,gpt-5.3-codex,1,micro,0.08,0.031019821779761425,0.031019821779761425,0.0,0.0,0.0,2
pilot,range_local_scans,gpt-5.3-codex,1,summaries,0.22499999999999998,-1.8110939053128445,-1.8110939053128445,0.0,0.0,0.0,2
pilot,range_local_scans,gpt-5.3-codex,1,topk,0.15000000000000002,0.47134222034544493,0.47134222034544493,0.0,0.0,0.0,2
pilot,range_local_scans,gpt-5.3-codex-spark,1,caching,0.15000000000000002,0.030667432193168514,0.026284440519850016,0.0,0.0,0.0,3
pilot,range_local_scans,gpt-5.3-codex-spark,1,indexing,0.25666666666666665,0.9024888587291223,0.899579489890681,0.6666666666666666,0.6666666666666666,0.6666666666666666,3
pilot,range_local_scans,gpt-5.3-codex-spark,1,layout,0.19000000000000003,0.9076730879698561,0.895397703040982,0.0,0.0,0.3333333333333333,3
pilot,range_local_scans,gpt-5.3-codex-spark,1,micro,0.06,0.04577519975466778,0.02887191896364716,0.0,0.0,0.0,3
pilot,range_local_scans,gpt-5.3-codex-spark,1,summaries,0.2333333333333333,-1.213542922290808,-1.0,0.3333333333333333,0.3333333333333333,0.0,3
pilot,range_local_scans,gpt-5.3-codex-spark,1,topk,0.11,0.03205010914036355,0.027160959318331956,0.0,0.0,0.0,3
pilot,topk_stress,gpt-5.3-codex,1,caching,0.2,0.021540389755760447,0.021540389755760447,0.0,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex,1,indexing,0.21,0.584455352204823,0.584455352204823,0.0,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex,1,layout,0.05,0.2403420703368348,0.2403420703368348,0.0,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex,1,micro,0.09,-0.6509008705908139,-0.6509008705908139,0.0,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex,1,summaries,0.14,-4.989137959600457,-4.989137959600457,0.0,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex,1,topk,0.31,0.7341310493263166,0.7341310493263166,1.0,1.0,1.0,2
pilot,topk_stress,gpt-5.3-codex-spark,1,caching,0.16666666666666666,-0.017077240819759476,-0.014887629452004836,0.0,0.0,0.0,3
pilot,topk_stress,gpt-5.3-codex-spark,1,indexing,0.21333333333333335,0.6647541810494842,0.6886363287477621,0.0,0.0,0.6666666666666666,3
pilot,topk_stress,gpt-5.3-codex-spark,1,layout,0.11666666666666665,0.6163908927323379,0.5889680535161459,0.0,0.0,0.3333333333333333,3
pilot,topk_stress,gpt-5.3-codex-spark,1,micro,0.05333333333333334,-0.10672470634257976,-0.12264848227185943,0.0,0.0,0.0,3
pilot,topk_stress,gpt-5.3-codex-spark,1,summaries,0.11666666666666665,-1.167459754651836,-1.0176998269998048,0.0,0.0,0.0,3
pilot,topk_stress,gpt-5.3-codex-spark,1,topk,0.3333333333333333,0.112507848352002,-0.012784269337815402,1.0,1.0,0.0,3
