split,task_mode_true,model_id,completed_trials,target_trials,missing_trials,available_new_seeds,planned_new_seeds
pilot,range_local_scans,claude_haiku_batch_strict,1,30,29,30,29
pilot,topk_stress,claude_haiku_batch_strict,1,30,29,30,29
pilot,range_local_scans,claude_sonnet_batch_strict,0,30,30,30,30
pilot,topk_stress,claude_sonnet_batch_strict,0,30,30,30,30
pilot,range_local_scans,gpt_5_3_codex_spark_batch_strict,10,30,20,20,20
pilot,topk_stress,gpt_5_3_codex_spark_batch_strict,10,30,20,20,20
pilot,range_local_scans,gpt_5_3_codex_batch_strict,6,30,24,24,24
pilot,topk_stress,gpt_5_3_codex_batch_strict,2,30,28,28,28
pilot,range_local_scans,gpt_5_4_mini_batch_strict,1,30,29,30,29
pilot,topk_stress,gpt_5_4_mini_batch_strict,1,30,29,30,29
holdout,range_local_scans,claude_haiku_batch_strict,0,30,30,30,30
holdout,topk_stress,claude_haiku_batch_strict,0,30,30,30,30
holdout,range_local_scans,claude_sonnet_batch_strict,0,30,30,30,30
holdout,topk_stress,claude_sonnet_batch_strict,0,30,30,30,30
holdout,range_local_scans,gpt_5_3_codex_spark_batch_strict,10,30,20,20,20
holdout,topk_stress,gpt_5_3_codex_spark_batch_strict,10,30,20,20,20
holdout,range_local_scans,gpt_5_3_codex_batch_strict,6,30,24,24,24
holdout,topk_stress,gpt_5_3_codex_batch_strict,2,30,28,28,28
holdout,range_local_scans,gpt_5_4_mini_batch_strict,0,30,30,30,30
holdout,topk_stress,gpt_5_4_mini_batch_strict,0,30,30,30,30
