split,task_mode_true,model_id,step,mode,mean_mode_prob,mean_gain,median_gain,top1_rate,selected_rate,productive_rate,count
holdout,topk_stress,gpt-5.3-codex-spark,1,caching,0.2,-0.0305422929047674,-0.0305422929047674,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,indexing,0.22,-1.0,-1.0,0.0,1.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,layout,0.05,0.6061453323259882,0.6061453323259882,0.0,0.0,1.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,micro,0.06,-0.037666286886850475,-0.037666286886850475,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,summaries,0.13,-3.5124398462396806,-3.5124398462396806,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,topk,0.34,0.013603163027942622,0.013603163027942622,1.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,caching,0.17,-1.0,-1.0,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,indexing,0.2,-1.0,-1.0,0.0,1.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,layout,0.09,0.0,0.0,0.0,0.0,1.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,micro,0.1,0.0,0.0,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,summaries,0.14,-1.0,-1.0,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,topk,0.3,0.0,0.0,1.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,caching,0.2,0.0,0.0,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,indexing,0.15,0.0,0.0,0.0,1.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,layout,0.05,0.0,0.0,0.0,0.0,1.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,micro,0.1,0.0,0.0,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,summaries,0.17,0.0,0.0,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,topk,0.33,0.0,0.0,1.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,4,caching,0.27,-0.005054872606965577,-0.005054872606965577,0.0,0.0,1.0,1
holdout,topk_stress,gpt-5.3-codex-spark,4,indexing,0.11,-0.018515399417352252,-0.018515399417352252,0.0,1.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,4,layout,0.05,-0.1970720171755238,-0.1970720171755238,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,4,micro,0.07,-0.014068491285443074,-0.014068491285443074,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,4,summaries,0.16,-1.6914663565397756,-1.6914663565397756,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,4,topk,0.34,-0.18007657344339723,-0.18007657344339723,1.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,caching,0.18,0.0053993920370374315,0.0053993920370374315,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,indexing,0.2,0.7074807703967496,0.7074807703967496,0.0,1.0,1.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,layout,0.15,0.6864565284802437,0.6864565284802437,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,micro,0.05,0.008272148720895878,0.008272148720895878,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,summaries,0.12,-0.19116554647260142,-0.19116554647260142,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,topk,0.3,-0.029394392685067272,-0.029394392685067272,1.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,caching,0.17,-0.02058045490898791,-0.02058045490898791,0.0,0.0,0.0,1
