run_id,split,task_mode_true,model_id,completed,steps_completed,baseline_loss,terminal_loss,best_so_far_loss,terminal_relative_improvement,best_so_far_relative_improvement,elapsed_wall_seconds
oracle_family_iterative_parallel_holdout_negative_lookup_churn_seed8201_gpt_5_3_codex_batch_strict,holdout,negative_lookup_churn,gpt-5.3-codex,False,2,1.002356451443165,0.07314673963019847,0.07314673963019847,0.9270252218909911,0.9270252218909911,9.2830412479816
oracle_family_iterative_parallel_holdout_negative_lookup_churn_seed8201_gpt_5_3_codex_spark_batch_strict,holdout,negative_lookup_churn,gpt-5.3-codex-spark,False,7,0.9997982507091606,0.05421983497542641,0.05324528331998926,0.9457692240039748,0.9467439723141923,18.453487751598004
oracle_family_iterative_top1_holdout_negative_lookup_churn_seed8201_gpt_5_3_codex_spark_batch_strict,holdout,negative_lookup_churn,gpt-5.3-codex-spark,False,8,1.0092231727845788,0.05998585862977007,0.05969557808376634,0.9405623451309969,0.9408499728369708,23.645101751957554
oracle_family_iterative_top1_holdout_topk_stress_seed8201_gpt_5_3_codex_batch_strict,holdout,topk_stress,gpt-5.3-codex,False,6,0.9956177248049398,2.423980359424718,0.21191452220014362,-1.434649664257053,0.7871527224551355,60.04996867006412
oracle_family_iterative_top1_holdout_topk_stress_seed8201_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,True,10,1.0031666798166068,1.0141084911801481,1.0052776875509033,-0.010907271526942713,-0.0021043439507803757,473.2002122402191
oracle_family_iterative_top1_holdout_topk_stress_seed8202_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,True,10,0.9978273383427507,0.29131993451458316,0.29131993451458316,0.708045747675721,0.708045747675721,404.72234296798706
oracle_family_iterative_parallel_pilot_negative_lookup_churn_seed8101_gpt_5_3_codex_batch_strict,pilot,negative_lookup_churn,gpt-5.3-codex,False,2,1.0058378226456246,0.15451120143822744,0.15396296923102495,0.8463855723462244,0.8469306226464414,16.282228834112175
oracle_family_iterative_parallel_pilot_negative_lookup_churn_seed8101_gpt_5_3_codex_spark_batch_strict,pilot,negative_lookup_churn,gpt-5.3-codex-spark,False,7,1.00659981350219,0.03566167802274808,0.03566167802274808,0.964572139250977,0.964572139250977,24.437089082959574
oracle_family_iterative_top1_pilot_negative_lookup_churn_seed8101_gpt_5_3_codex_spark_batch_strict,pilot,negative_lookup_churn,gpt-5.3-codex-spark,True,10,1.0051074642902291,0.03869619945026182,0.034080410325696954,0.9615004356995919,0.9660927696425343,282.6869111061096
oracle_family_iterative_top1_pilot_negative_lookup_churn_seed8102_gpt_5_3_codex_spark_batch_strict,pilot,negative_lookup_churn,gpt-5.3-codex-spark,False,1,1.0145260151301552,0.16439898594824898,0.16439898594824898,0.8379548838605603,0.8379548838605603,18.920946707949042
oracle_family_iterative_top1_pilot_topk_stress_seed8101_gpt_5_3_codex_batch_strict,pilot,topk_stress,gpt-5.3-codex,False,6,0.9993092712019802,0.2886284606808916,0.23268807008293396,0.7111720375277555,0.7671510944724308,32.00633470702451
oracle_family_iterative_top1_pilot_topk_stress_seed8101_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,True,10,1.0049548473281773,0.5002491873935785,0.3181680670393245,0.5022172501346048,0.6834006344810198,366.4831519126892
oracle_family_iterative_top1_pilot_topk_stress_seed8102_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,True,10,0.9753209652639641,0.299210908126996,0.299210908126996,0.6932180084470791,0.6932180084470791,414.4150929450989
