policy_label,horizon,oracle_router_holdout_objective,pilot_router_holdout_objective,single_best_model_holdout_objective
fixed_indexing,1,16.681067455967256,16.681067455967256,16.681067455967256
fixed_indexing,2,16.855405958251385,16.855405958251385,16.855405958251385
fixed_indexing,3,3.3631107917833645,3.3631107917833645,3.3631107917833645
fixed_indexing,4,3.5287760338054626,3.5287760338054626,3.5287760338054626
fixed_topk,1,17.241276152934482,17.241276152934482,17.241276152934482
fixed_topk,2,17.785823463427704,17.785823463427704,17.785823463427704
fixed_topk,3,18.187740056002113,18.187740056002113,18.187740056002113
top1,1,16.767405011248194,16.67577773243197,16.67577773243197
top1,2,3.459613361016545,3.459613361016545,3.459613361016545
top1,3,3.6597978540216403,3.6618254538460655,3.6597978540216403
top1,4,3.7415167800634137,3.7330597436023676,3.7304883529458728
top1,5,5.759947591697943,5.759947591697943,5.759947591697943
top1,6,5.917084758126631,5.917084758126631,5.917084758126631
top1,7,6.066697548937112,6.066697548937112,6.066697548937112
top1,8,6.205913077588987,6.205913077588987,6.205913077588987
top1,9,19.827662923751515,19.827662923751515,19.827662923751515
top1,10,19.975029138589576,19.975029138589576,19.975029138589576
