split,task_mode_true,model_id,step,mode,mean_mode_prob,mean_gain,median_gain,top1_rate,selected_rate,productive_rate,count
holdout,topk_stress,gpt-5.3-codex-spark,1,caching,0.18,0.001743734391117524,0.001743734391117524,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,indexing,0.21,0.7168553281408063,0.7168553281408063,0.0,0.0,1.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,layout,0.13,0.5978527569680574,0.5978527569680574,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,micro,0.05,0.009651582368663814,0.009651582368663814,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,summaries,0.1,-3.040131706032793,-3.040131706032793,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,topk,0.33,0.010305155931795706,0.010305155931795706,1.0,1.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,caching,0.2,-0.005509174999537292,-0.005509174999537292,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,indexing,0.25,0.3264613439858749,0.3264613439858749,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,layout,0.08,0.4301665489574119,0.4301665489574119,0.0,0.0,1.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,micro,0.04,0.0033540802738488695,0.0033540802738488695,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,summaries,0.12,-1.2698517559369271,-1.2698517559369271,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,2,topk,0.31,0.01004024999790043,0.01004024999790043,1.0,1.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,caching,0.2,-0.15244993074757218,-0.15244993074757218,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,indexing,0.22,0.12700609851953348,0.12700609851953348,0.0,0.0,1.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,layout,0.09,0.05355892014260677,0.05355892014260677,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,micro,0.04,-0.023139103491534696,-0.023139103491534696,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,summaries,0.11,0.00887310866797908,0.00887310866797908,0.0,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,3,topk,0.34,-0.003945512193532341,-0.003945512193532341,1.0,1.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,caching,0.18,-0.004703546839457395,-0.004703546839457395,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,indexing,0.19,0.6490418375583742,0.6490418375583742,0.0,0.0,1.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,layout,0.06,0.5212191912747663,0.5212191912747663,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,micro,0.1,-0.0046656867028669335,-0.0046656867028669335,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,summaries,0.12,-4.5047795971016455,-4.5047795971016455,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,topk,0.35,0.013702671776026132,0.013702671776026132,1.0,1.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,caching,0.19,-0.041780577087684345,-0.041780577087684345,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,indexing,0.26,0.5163079317192767,0.5163079317192767,0.0,0.0,1.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,layout,0.08,0.4139721711474832,0.4139721711474832,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,micro,0.03,-0.0071281228079785874,-0.0071281228079785874,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,summaries,0.1,-2.4017433604185556,-2.4017433604185556,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,2,topk,0.34,-0.002471566782359158,-0.002471566782359158,1.0,1.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,3,caching,0.18,-0.006247859365973496,-0.006247859365973496,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,3,indexing,0.22,0.5178243998721568,0.5178243998721568,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,3,layout,0.1,0.5215746498137477,0.5215746498137477,0.0,0.0,1.0,1
pilot,topk_stress,gpt-5.3-codex-spark,3,micro,0.12,-0.11772102529249462,-0.11772102529249462,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,3,summaries,0.14,-1.4462902270721116,-1.4462902270721116,0.0,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex-spark,3,topk,0.24,0.003625075141446499,0.003625075141446499,1.0,1.0,0.0,1
