split,task_mode_true,model_id,step,mean_parent_loss,mean_selected_loss,mean_routing_regret,mean_routing_jsd,top1_productive_rate,selected_productive_rate,count
holdout,topk_stress,gpt-5.3-codex,1,0.9956177248049398,0.9927407272031588,0.5222789393419738,0.37167995334883597,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex,2,0.9927407272031588,0.6559085504607154,0.2556371737981131,0.4105746210139143,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex,3,0.6559085504607154,0.21191452220014362,0.0,0.29099900223047576,1.0,1.0,1
holdout,topk_stress,gpt-5.3-codex,4,0.21191452220014362,0.21458185278460562,0.08692523652112163,0.6110178255829338,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,1,1.0004970090796788,0.9834437726075729,0.6804014631786006,0.4215418789225021,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,2,0.9834437726075729,inf,1.0104098972588,0.45988965211752253,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,3,inf,0.9856068748687669,0.22336017036378358,0.2574082368520871,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,4,0.9856068748687669,0.7734672796620705,0.24715787071545764,0.44036868474237867,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,5,0.7734672796620705,0.7406746039795795,0.145923323008724,0.47151130996237994,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,6,0.7406746039795795,0.7368003775661784,0.18797653944287548,0.31966452883328744,0.0,0.0,2
holdout,topk_stress,gpt-5.3-codex-spark,7,0.7368003775661784,0.751021015629653,0.2808560714690572,0.22873301481309077,0.5,0.5,2
holdout,topk_stress,gpt-5.3-codex-spark,8,0.751021015629653,0.7421657305180249,0.2973309789834109,0.4033635216771332,0.5,0.5,2
holdout,topk_stress,gpt-5.3-codex-spark,9,1.0332426769620735,1.0125833542761826,0.3706509325958153,0.28811099687771424,0.0,0.0,1
holdout,topk_stress,gpt-5.3-codex-spark,10,1.0125833542761826,1.0141084911801481,0.5705053075100374,0.6364619458936842,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex,1,0.9993092712019802,0.23360600854851812,0.0,0.05222579415556558,1.0,1.0,1
pilot,topk_stress,gpt-5.3-codex,2,0.23360600854851812,0.23268807008293396,0.041042859941347154,0.7778391647679754,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex,3,0.23268807008293396,0.8495607509699009,0.6587759233992646,0.7759142629488414,0.0,0.0,1
pilot,topk_stress,gpt-5.3-codex,4,0.8495607509699009,0.24998555329084177,0.0,0.26602474005333865,1.0,1.0,1
pilot,topk_stress,gpt-5.3-codex-spark,1,0.9901379062960707,inf,1.19021464305052,0.5237204058658047,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex-spark,2,inf,0.9896872868151634,0.25905399049652905,0.2793605767767699,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex-spark,3,0.9896872868151634,0.735646261067602,0.2525895122539403,0.4271553665677983,0.5,0.5,2
pilot,topk_stress,gpt-5.3-codex-spark,4,0.735646261067602,0.4828135699082089,0.10894850491404268,0.40274101939158724,0.5,0.5,2
pilot,topk_stress,gpt-5.3-codex-spark,5,0.4828135699082089,0.7015594044646102,0.24962351158996907,0.5493179200445993,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex-spark,6,0.7015594044646102,0.47429617770099486,0.0732107669459306,0.38835068514147414,0.5,0.5,2
pilot,topk_stress,gpt-5.3-codex-spark,7,0.47429617770099486,0.542709854903115,0.0841195091389968,0.31042547831428946,0.5,0.5,2
pilot,topk_stress,gpt-5.3-codex-spark,8,0.542709854903115,0.4369670888359213,0.0012957841283029736,0.4579694278874978,0.5,0.5,2
pilot,topk_stress,gpt-5.3-codex-spark,9,0.4369670888359213,0.5000096806498071,0.04693076023280948,0.054201486184217884,0.0,0.0,2
pilot,topk_stress,gpt-5.3-codex-spark,10,0.5000096806498071,0.39973004776028725,0.005606466899875928,0.20334540101414922,0.5,0.5,2
