run_id,split,task_mode_true,model_id,completed,steps_completed,baseline_loss,terminal_loss,best_so_far_loss,terminal_relative_improvement,best_so_far_relative_improvement,elapsed_wall_seconds,policy_label
oracle_family_iterative_top1_holdout_topk_stress_seed8201_gpt_5_3_codex_batch_strict,holdout,topk_stress,gpt-5.3-codex,False,4,0.9956177248049398,0.2145818527846056,0.2119145222001436,0.7844736514442365,0.7871527224551355,41.69946725008776,top1
oracle_family_iterative_top1_holdout_topk_stress_seed8201_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,True,10,1.0031666798166068,1.014108491180148,1.0052776875509033,-0.0109072715269427,-0.0021043439507803,473.2002122402191,top1
oracle_family_iterative_top1_holdout_topk_stress_seed8202_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,False,8,0.9978273383427508,0.4510887840739763,0.4510887840739763,0.5479290186384644,0.5479290186384644,131.2654363362235,top1
oracle_family_iterative_top1_pilot_topk_stress_seed8101_gpt_5_3_codex_batch_strict,pilot,topk_stress,gpt-5.3-codex,False,4,0.9993092712019802,0.2499855532908417,0.2326880700829339,0.749841655136296,0.7671510944724308,24.01279508101288,top1
oracle_family_iterative_top1_pilot_topk_stress_seed8101_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,True,10,1.0049548473281773,0.5002491873935785,0.3181680670393245,0.5022172501346048,0.6834006344810198,366.4831519126892,top1
oracle_family_iterative_top1_pilot_topk_stress_seed8102_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,True,10,0.975320965263964,0.299210908126996,0.299210908126996,0.6932180084470791,0.6932180084470791,414.4150929450989,top1
oracle_family_iterative_fixed_indexing_holdout_topk_stress_seed9201_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,False,4,1.0124961023454777,0.3224205961801777,0.3039051967628254,0.6815586791561166,0.6998455637914853,34.082226581987925,fixed_indexing
oracle_family_iterative_fixed_indexing_pilot_topk_stress_seed9101_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,False,4,1.0129472755828852,0.2979028764210238,0.2954452917510801,0.7059048544756684,0.7083310268236117,37.54473199992208,fixed_indexing
oracle_family_iterative_fixed_topk_holdout_topk_stress_seed9401_gpt_5_3_codex_spark_batch_strict,holdout,topk_stress,gpt-5.3-codex-spark,False,3,1.0130218741739483,0.9966219804377844,0.9926764682442522,0.0161890815531864,0.0200838762206259,79.2200559169869,fixed_topk
oracle_family_iterative_fixed_topk_pilot_topk_stress_seed9301_gpt_5_3_codex_spark_batch_strict,pilot,topk_stress,gpt-5.3-codex-spark,False,3,1.0075092052050303,0.992653025069917,0.992653025069917,0.0147454534989486,0.0147454534989486,74.81459158292273,fixed_topk
