archive	parts	compressed_bytes	tar_entries
campaign-accounting	1	66462	27
campaign-config_snapshot	1	4871	10
campaign-figures	1	5655515	67
campaign-manifests	1	1579	5
campaign-metadata	1	819	2
campaign-router	1	950660	8
campaign-router_allocation	1	1831454	97
campaign-runs_balanced_n30	1	723710	318
campaign-worker-confirmation-000	1	1173612	19100
campaign-worker-confirmation-001	1	1162955	19100
campaign-worker-confirmation-002	1	1169074	19100
campaign-worker-confirmation-003	1	1126628	19100
campaign-worker-confirmation-004	1	1156707	19100
campaign-worker-confirmation-005	1	1137759	19100
campaign-worker-confirmation-006	1	1139966	19097
campaign-worker-confirmation-007	1	1221789	19094
campaign-worker-confirmation-008	1	1207268	19100
campaign-worker-confirmation-009	1	1195563	19100
