signal,control,records,selected,mean_log_effort_regret
Z0,none,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.23615282781799263
Z0,shuffle_probe,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.18534297176054093
Z0,synthetic_noise,30,{'gpt_5_4': 30},0.20128865737563545
Z0,wrong_mode_probe,30,{'gpt_5_4': 30},0.20128865737563545
Z1,none,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.20766779849034206
Z1,shuffle_probe,30,{'gpt_5_4': 30},0.20128865737563545
Z1,synthetic_noise,30,{'gpt_5_4': 30},0.20128865737563545
Z1,wrong_mode_probe,30,{'gpt_5_4': 30},0.20128865737563545
Z2,none,30,{'gpt_5_4': 30},0.20128865737563545
Z2,shuffle_probe,30,{'gpt_5_4': 30},0.20128865737563545
Z2,synthetic_noise,30,{'gpt_5_4': 30},0.20128865737563545
Z2,wrong_mode_probe,30,{'gpt_5_4': 30},0.20128865737563545
Z3,none,30,"{'gpt_5_4': 28, 'gpt_5_3_codex': 2}",0.16939728614544644
Z3,shuffle_probe,30,{'gpt_5_4': 30},0.20128865737563545
Z3,synthetic_noise,30,{'gpt_5_4': 30},0.20128865737563545
Z3,wrong_mode_probe,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.23615282781799268
