threshold,signal,control,pairs,shift_rate,gross_gain_mean,measurement_loss_mean,net_gain_mean,any_positive_net_gain
0.01,Z1,none,30,0.06666666666666667,0.0046084559016952315,0.0,0.0046084559016952315,True
0.01,Z1,shuffle_probe,30,0.03333333333333333,-0.002648824496758789,0.0,-0.002648824496758789,False
0.01,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.01,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.01,Z2,none,30,0.03333333333333333,0.0036128804470134447,0.007262962962962962,-0.003650082515949518,True
0.01,Z2,shuffle_probe,30,0.03333333333333333,-0.002648824496758789,0.008290740740740741,-0.01093956523749953,False
0.01,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.01,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.01,Z3,none,30,0.1,0.008910529440531023,0.02823567968297887,-0.019325150242447856,True
0.01,Z3,shuffle_probe,30,0.03333333333333333,-0.002648824496758789,0.03106452637866691,-0.0337133508754257,False
0.01,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.01,Z3,wrong_mode_probe,30,0.03333333333333333,-0.0036128804470134447,0.0237097492147375,-0.027322629661750943,False
0.02,Z1,none,30,0.06666666666666667,0.0045235720837492836,0.0,0.0045235720837492836,True
0.02,Z1,shuffle_probe,30,0.03333333333333333,-0.0026177345520790375,0.0,-0.0026177345520790375,False
0.02,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.02,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.02,Z2,none,30,0.03333333333333333,0.0051173244717139296,0.007262962962962962,-0.0021456384912490333,True
0.02,Z2,shuffle_probe,30,0.03333333333333333,-0.0026177345520790375,0.008290740740740741,-0.010908475292819778,False
0.02,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.02,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.02,Z3,none,30,0.1,0.010352793575872005,0.02823567968297887,-0.017882886107106873,True
0.02,Z3,shuffle_probe,30,0.03333333333333333,-0.0026177345520790375,0.03106452637866691,-0.03368226093074595,False
0.02,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.02,Z3,wrong_mode_probe,30,0.03333333333333333,-0.0051173244717139296,0.0237097492147375,-0.02882707368645143,False
0.05,Z1,none,30,0.06666666666666667,0.00543115697415436,0.0,0.00543115697415436,True
0.05,Z1,shuffle_probe,30,0.03333333333333333,-0.0030639546772948025,0.0,-0.0030639546772948025,False
0.05,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.05,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
