signal,control,pairs,shift_rate,gross_gain_mean,measurement_loss_mean,net_gain_mean,net_gain_lo,net_gain_hi,loss_increasing_shift_count
Z1,none,30,0.06666666666666667,0.005199929483649591,0.0,0.005199929483649591,-0.0055889236373371535,0.02118871208828593,1
Z1,shuffle_probe,30,0.03333333333333333,-0.0028552787887040913,0.0,-0.0028552787887040913,-0.008565836366112274,0.0,1
Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,0.0,0.0,0
Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,0.0,0.0,0
Z2,none,30,0.03333333333333333,0.007062904029428643,0.007262962962962962,-0.00020005893353432046,-0.008090787037037037,0.014741443569767403,0
Z2,shuffle_probe,30,0.03333333333333333,-0.0028552787887040913,0.008290740740740741,-0.01114601952944483,-0.01727389192166783,-0.007596157407407407,1
Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,-0.022195203703703703,-0.017539898148148148,0
Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555554,-0.00860199074074074,-0.006518333333333334,0
Z3,none,30,0.1,0.012773461606836824,0.02823567968297887,-0.015462218076142053,-0.028021570952194864,0.0022233768205762137,0
Z3,shuffle_probe,30,0.03333333333333333,-0.0028552787887040913,0.03106452637866691,-0.033919805167371,-0.041065811569573236,-0.028750403949883253,1
Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111113,-0.021620902777777774,-0.016775611111111113,0
Z3,wrong_mode_probe,30,0.03333333333333333,-0.007062904029428643,0.0237097492147375,-0.03077265324416615,-0.047088747131600564,-0.021155783437203476,1
