signal,control,records,selected,mean_log_effort_regret
Z0,none,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.23950353582584888
Z0,shuffle_probe,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.1900506501377822
Z0,synthetic_noise,30,{'gpt_5_4': 30},0.20489444312013028
Z0,wrong_mode_probe,30,{'gpt_5_4': 30},0.20489444312013028
Z1,none,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.21428535032757123
Z1,shuffle_probe,30,{'gpt_5_4': 30},0.20489444312013028
Z1,synthetic_noise,30,{'gpt_5_4': 30},0.20489444312013028
Z1,wrong_mode_probe,30,{'gpt_5_4': 30},0.20489444312013028
Z2,none,30,{'gpt_5_4': 30},0.20489444312013028
Z2,shuffle_probe,30,{'gpt_5_4': 30},0.20489444312013028
Z2,synthetic_noise,30,{'gpt_5_4': 30},0.20489444312013028
Z2,wrong_mode_probe,30,{'gpt_5_4': 30},0.20489444312013028
Z3,none,30,"{'gpt_5_4': 28, 'gpt_5_3_codex': 2}",0.1752068571554341
Z3,shuffle_probe,30,{'gpt_5_4': 30},0.20489444312013028
Z3,synthetic_noise,30,{'gpt_5_4': 30},0.20489444312013028
Z3,wrong_mode_probe,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.23950353582584885
