threshold,signal,control,pairs,shift_rate,gross_gain_mean,measurement_loss_mean,net_gain_mean,any_positive_net_gain
0.01,Z1,none,30,0.06666666666666667,0.004620477422469506,0.0,0.004620477422469506,True
0.01,Z1,shuffle_probe,30,0.03333333333333333,-0.002534606797253645,0.0,-0.002534606797253645,False
0.01,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.01,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.01,Z2,none,30,0.03333333333333333,0.0036262072448503394,0.007262962962962962,-0.0036367557181126234,True
0.01,Z2,shuffle_probe,30,0.03333333333333333,-0.002534606797253645,0.008290740740740741,-0.010825347537994386,False
0.01,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.01,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.01,Z3,none,30,0.1,0.008695420839357629,0.02823567968297887,-0.01954025884362125,True
0.01,Z3,shuffle_probe,30,0.03333333333333333,-0.002534606797253645,0.03106452637866691,-0.03359913317592055,False
0.01,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.01,Z3,wrong_mode_probe,30,0.03333333333333333,-0.0036262072448503394,0.0237097492147375,-0.027335956459587838,False
0.02,Z1,none,30,0.06666666666666667,0.004393977262614265,0.0,0.004393977262614265,True
0.02,Z1,shuffle_probe,30,0.03333333333333333,-0.0025044051367075987,0.0,-0.0025044051367075987,False
0.02,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.02,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.02,Z2,none,30,0.03333333333333333,0.004943625560708777,0.007262962962962962,-0.002319337402254186,True
0.02,Z2,shuffle_probe,30,0.03333333333333333,-0.0025044051367075987,0.008290740740740741,-0.010795145877448339,False
0.02,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.02,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.02,Z3,none,30,0.1,0.009952435834123976,0.02823567968297887,-0.0182832438488549,True
0.02,Z3,shuffle_probe,30,0.03333333333333333,-0.0025044051367075987,0.03106452637866691,-0.03356893151537451,False
0.02,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.02,Z3,wrong_mode_probe,30,0.03333333333333333,-0.004943625560708777,0.0237097492147375,-0.028653374775446275,False
0.05,Z1,none,30,0.06666666666666667,0.005199929483649593,0.0,0.005199929483649593,True
0.05,Z1,shuffle_probe,30,0.03333333333333333,-0.0028552787887040913,0.0,-0.0028552787887040913,False
0.05,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.05,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.05,Z2,none,30,0.03333333333333333,0.0070629040294286445,0.007262962962962962,-0.00020005893353431862,True
0.05,Z2,shuffle_probe,30,0.03333333333333333,-0.0028552787887040913,0.008290740740740741,-0.011146019529444832,False
0.05,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.05,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.05,Z3,none,30,0.1,0.012773461606836825,0.02823567968297887,-0.015462218076142053,True
0.05,Z3,shuffle_probe,30,0.03333333333333333,-0.0028552787887040913,0.03106452637866691,-0.033919805167371,False
0.05,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.05,Z3,wrong_mode_probe,30,0.03333333333333333,-0.0070629040294286445,0.0237097492147375,-0.03077265324416614,False
0.075,Z1,none,30,0.06666666666666667,0.006992810334408727,0.0,0.006992810334408727,True
0.075,Z1,shuffle_probe,30,0.03333333333333333,-0.0025194395930615695,0.0,-0.0025194395930615695,False
0.075,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.075,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.075,Z2,none,30,0.03333333333333333,0.009431405319126824,0.007262962962962962,0.0021684423561638606,True
0.075,Z2,shuffle_probe,30,0.03333333333333333,-0.0025194395930615695,0.008290740740740741,-0.010810180333802311,False
0.075,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.075,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.075,Z3,none,30,0.1,0.014470284505249963,0.02823567968297887,-0.013765395177728916,True
0.075,Z3,shuffle_probe,30,0.03333333333333333,-0.0025194395930615695,0.03106452637866691,-0.03358396597172848,False
0.075,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.075,Z3,wrong_mode_probe,30,0.03333333333333333,-0.009431405319126824,0.0237097492147375,-0.03314115453386432,False
0.1,Z1,none,30,0.06666666666666667,0.010916187525432575,0.0,0.010916187525432575,True
0.1,Z1,shuffle_probe,30,0.03333333333333333,-0.003356955913399892,0.0,-0.003356955913399892,False
0.1,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.1,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.1,Z2,none,30,0.03333333333333333,0.012975783095195809,0.007262962962962962,0.005712820132232846,True
0.1,Z2,shuffle_probe,30,0.03333333333333333,-0.003356955913399892,0.008290740740740741,-0.011647696654140635,False
0.1,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.1,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.1,Z3,none,30,0.1,0.01968969492199559,0.02823567968297887,-0.008545984760983283,True
0.1,Z3,shuffle_probe,30,0.03333333333333333,-0.003356955913399892,0.03106452637866691,-0.0344214822920668,False
0.1,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.1,Z3,wrong_mode_probe,30,0.03333333333333333,-0.012975783095195809,0.0237097492147375,-0.03668553230993332,False
0.125,Z1,none,30,0.06666666666666667,0.0058225820419334166,0.0,0.0058225820419334166,True
0.125,Z1,shuffle_probe,30,0.03333333333333333,-0.0026013326191775986,0.0,-0.0026013326191775986,False
0.125,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.125,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.125,Z2,none,30,0.03333333333333333,0.010564452876256254,0.007262962962962962,0.0033014899132932877,True
0.125,Z2,shuffle_probe,30,0.03333333333333333,-0.0026013326191775986,0.008290740740740741,-0.01089207335991834,False
0.125,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.125,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.125,Z3,none,30,0.1,0.01576711811461145,0.02823567968297887,-0.012468561568367427,True
0.125,Z3,shuffle_probe,30,0.03333333333333333,-0.0026013326191775986,0.03106452637866691,-0.0336658589978445,False
0.125,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.125,Z3,wrong_mode_probe,30,0.03333333333333333,-0.010564452876256254,0.0237097492147375,-0.03427420209099376,False
0.15,Z1,none,30,0.06666666666666667,0.0007802927252098265,0.0,0.0007802927252098265,True
0.15,Z1,shuffle_probe,30,0.03333333333333333,-0.0009172507334260078,0.0,-0.0009172507334260078,False
0.15,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.15,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.15,Z2,none,30,0.03333333333333333,0.007785316045763628,0.007262962962962962,0.0005223530828006653,True
0.15,Z2,shuffle_probe,30,0.03333333333333333,-0.0009172507334260078,0.008290740740740741,-0.00920799147416675,False
0.15,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.15,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.15,Z3,none,30,0.1,0.009619817512615644,0.02823567968297887,-0.01861586217036323,True
0.15,Z3,shuffle_probe,30,0.03333333333333333,-0.0009172507334260078,0.03106452637866691,-0.031981777112092914,False
0.15,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.15,Z3,wrong_mode_probe,30,0.03333333333333333,-0.007785316045763628,0.0237097492147375,-0.03149506526050112,False
0.2,Z1,none,30,0.06666666666666667,0.00169335142175987,0.0,0.00169335142175987,True
0.2,Z1,shuffle_probe,30,0.03333333333333333,0.01691888508569628,0.0,0.01691888508569628,True
0.2,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.2,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.2,Z2,none,30,0.03333333333333333,0.010356036921209759,0.007262962962962962,0.0030930739582467935,True
0.2,Z2,shuffle_probe,30,0.03333333333333333,0.01691888508569628,0.008290740740740741,0.008628144344955537,True
0.2,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.2,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.2,Z3,none,30,0.1,-0.023481733250182806,0.02823567968297887,-0.05171741293316167,True
0.2,Z3,shuffle_probe,30,0.03333333333333333,0.01691888508569628,0.03106452637866691,-0.014145641292970629,True
0.2,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.2,Z3,wrong_mode_probe,30,0.03333333333333333,-0.010356036921209759,0.0237097492147375,-0.03406578613594726,False
0.25,Z1,none,30,0.06666666666666667,-0.000947540865877942,0.0,-0.000947540865877942,True
0.25,Z1,shuffle_probe,30,0.03333333333333333,0.006855855760940166,0.0,0.006855855760940166,True
0.25,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.25,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.25,Z2,none,30,0.03333333333333333,0.00962035848409411,0.007262962962962962,0.002357395521131144,True
0.25,Z2,shuffle_probe,30,0.03333333333333333,0.006855855760940166,0.008290740740740741,-0.0014348849798005753,True
0.25,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.25,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.25,Z3,none,30,0.1,-0.004091353037786224,0.02823567968297887,-0.0323270327207651,True
0.25,Z3,shuffle_probe,30,0.03333333333333333,0.006855855760940166,0.03106452637866691,-0.024208670617726746,True
0.25,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.25,Z3,wrong_mode_probe,30,0.03333333333333333,-0.00962035848409411,0.0237097492147375,-0.03333010769883161,False
0.3,Z1,none,30,0.06666666666666667,-0.015719267701333146,0.0,-0.015719267701333146,False
0.3,Z1,shuffle_probe,30,0.03333333333333333,-0.011523387592513723,0.0,-0.011523387592513723,False
0.3,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.3,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.3,Z2,none,30,0.03333333333333333,-0.0011865500811798788,0.007262962962962962,-0.008449513044142841,False
0.3,Z2,shuffle_probe,30,0.03333333333333333,-0.011523387592513723,0.008290740740740741,-0.01981412833325446,False
0.3,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.3,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.3,Z3,none,30,0.1,0.021860225103847566,0.02823567968297887,-0.0063754545791313115,True
0.3,Z3,shuffle_probe,30,0.03333333333333333,-0.011523387592513723,0.03106452637866691,-0.04258791397118063,False
0.3,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.3,Z3,wrong_mode_probe,30,0.03333333333333333,0.0011865500811798788,0.0237097492147375,-0.02252319913355762,False
0.35,Z1,none,30,0.06666666666666667,-0.01757204974979322,0.0,-0.01757204974979322,False
0.35,Z1,shuffle_probe,30,0.03333333333333333,-0.023549028257207283,0.0,-0.023549028257207283,False
0.35,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.35,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.35,Z2,none,30,0.03333333333333333,-0.006950911496398327,0.007262962962962962,-0.014213874459361292,False
0.35,Z2,shuffle_probe,30,0.03333333333333333,-0.023549028257207283,0.008290740740740741,-0.03183976899794802,False
0.35,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.35,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.35,Z3,none,30,0.1,0.040147145018016236,0.02823567968297887,0.011911465335037365,True
0.35,Z3,shuffle_probe,30,0.03333333333333333,-0.023549028257207283,0.03106452637866691,-0.05461355463587418,False
0.35,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.35,Z3,wrong_mode_probe,30,0.03333333333333333,0.006950911496398327,0.0237097492147375,-0.01675883771833918,True
0.4,Z1,none,30,0.06666666666666667,-0.011032087796573291,0.0,-0.011032087796573291,False
0.4,Z1,shuffle_probe,30,0.03333333333333333,-0.03254401870598237,0.0,-0.03254401870598237,False
0.4,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.4,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.4,Z2,none,30,0.03333333333333333,-0.008251097166475178,0.007262962962962962,-0.015514060129438144,False
0.4,Z2,shuffle_probe,30,0.03333333333333333,-0.03254401870598237,0.008290740740740741,-0.04083475944672313,False
0.4,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.4,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.4,Z3,none,30,0.1,0.05683694024548957,0.02823567968297887,0.028601260562510687,True
0.4,Z3,shuffle_probe,30,0.03333333333333333,-0.03254401870598237,0.03106452637866691,-0.06360854508464928,False
0.4,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.4,Z3,wrong_mode_probe,30,0.03333333333333333,0.008251097166475178,0.0237097492147375,-0.015458652048262326,True
0.45,Z1,none,30,0.06666666666666667,0.0007430656961599835,0.0,0.0007430656961599835,True
0.45,Z1,shuffle_probe,30,0.03333333333333333,-0.040714074921998994,0.0,-0.040714074921998994,False
0.45,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.45,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.45,Z2,none,30,0.03333333333333333,-0.008251097166475178,0.007262962962962962,-0.015514060129438144,False
0.45,Z2,shuffle_probe,30,0.03333333333333333,-0.040714074921998994,0.008290740740740741,-0.04900481566273975,False
0.45,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.45,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.45,Z3,none,30,0.1,0.07317705267752282,0.02823567968297887,0.044941372994543934,True
0.45,Z3,shuffle_probe,30,0.03333333333333333,-0.040714074921998994,0.03106452637866691,-0.0717786013006659,False
0.45,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.45,Z3,wrong_mode_probe,30,0.03333333333333333,0.008251097166475178,0.0237097492147375,-0.015458652048262326,True
0.5,Z1,none,30,0.06666666666666667,0.00940488702895148,0.0,0.00940488702895148,True
0.5,Z1,shuffle_probe,30,0.03333333333333333,-0.04089333171374583,0.0,-0.04089333171374583,False
0.5,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.5,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.5,Z2,none,30,0.03333333333333333,-0.008251097166475178,0.007262962962962962,-0.015514060129438144,False
0.5,Z2,shuffle_probe,30,0.03333333333333333,-0.04089333171374583,0.008290740740740741,-0.04918407245448659,False
0.5,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.5,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555556,-0.007555555555555556,False
0.5,Z3,none,30,0.1,0.07353556626101648,0.02823567968297887,0.0452998865780376,True
0.5,Z3,shuffle_probe,30,0.03333333333333333,-0.04089333171374583,0.03106452637866691,-0.07195785809241274,False
0.5,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111116,-0.019086111111111116,False
0.5,Z3,wrong_mode_probe,30,0.03333333333333333,0.008251097166475178,0.0237097492147375,-0.015458652048262326,True
