signal,control,records,selected,mean_log_effort_regret
Z0,none,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.21544136025487273
Z0,shuffle_probe,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.16364601588586838
Z0,synthetic_noise,30,{'gpt_5_4': 30},0.17775656105371743
Z0,wrong_mode_probe,30,{'gpt_5_4': 30},0.17775656105371743
Z1,none,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.1879884590164673
Z1,shuffle_probe,30,{'gpt_5_4': 30},0.17775656105371743
Z1,synthetic_noise,30,{'gpt_5_4': 30},0.17775656105371743
Z1,wrong_mode_probe,30,{'gpt_5_4': 30},0.17775656105371743
Z2,none,30,{'gpt_5_4': 30},0.17775656105371743
Z2,shuffle_probe,30,{'gpt_5_4': 30},0.17775656105371743
Z2,synthetic_noise,30,{'gpt_5_4': 30},0.17775656105371743
Z2,wrong_mode_probe,30,{'gpt_5_4': 30},0.17775656105371743
Z3,none,30,"{'gpt_5_4': 28, 'gpt_5_3_codex': 2}",0.14953547071801931
Z3,shuffle_probe,30,{'gpt_5_4': 30},0.17775656105371743
Z3,synthetic_noise,30,{'gpt_5_4': 30},0.17775656105371743
Z3,wrong_mode_probe,30,"{'gpt_5_4': 29, 'gpt_5_3_codex': 1}",0.21544136025487273
