threshold,signal,control,pairs,shift_rate,gross_gain_mean,measurement_loss_mean,net_gain_mean,any_positive_net_gain
0.01,Z1,none,30,0.06666666666666667,0.004705575800493911,0.0,0.004705575800493911,True
0.01,Z1,shuffle_probe,30,0.03333333333333333,-0.0030915007069817297,0.0,-0.0030915007069817297,False
0.01,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.01,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.01,Z2,none,30,0.03333333333333333,0.0038588041581047905,0.007262962962962962,-0.0034041588048581723,True
0.01,Z2,shuffle_probe,30,0.03333333333333333,-0.0030915007069817297,0.008290740740740741,-0.01138224144772247,False
0.01,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.01,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555555,-0.007555555555555555,False
0.01,Z3,none,30,0.1,0.01004180557206825,0.028235679682978874,-0.018193874110910627,True
0.01,Z3,shuffle_probe,30,0.03333333333333333,-0.0030915007069817297,0.031064526378666912,-0.034156027085648646,False
0.01,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111113,-0.019086111111111113,False
0.01,Z3,wrong_mode_probe,30,0.03333333333333333,-0.0038588041581047905,0.023709749214737504,-0.027568553372842294,False
0.02,Z1,none,30,0.06666666666666667,0.005092679629579738,0.0,0.005092679629579738,True
0.02,Z1,shuffle_probe,30,0.03333333333333333,-0.002948695695753451,0.0,-0.002948695695753451,False
0.02,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.02,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.02,Z2,none,30,0.03333333333333333,0.005358755093062366,0.007262962962962962,-0.0019042078699005973,True
0.02,Z2,shuffle_probe,30,0.03333333333333333,-0.002948695695753451,0.008290740740740741,-0.011239436436494192,False
0.02,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.02,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555555,-0.007555555555555555,False
0.02,Z3,none,30,0.1,0.011256146484569267,0.028235679682978874,-0.01697953319840961,True
0.02,Z3,shuffle_probe,30,0.03333333333333333,-0.002948695695753451,0.031064526378666912,-0.03401322207442036,False
0.02,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111113,-0.019086111111111113,False
0.02,Z3,wrong_mode_probe,30,0.03333333333333333,-0.005358755093062366,0.023709749214737504,-0.02906850430779987,False
0.05,Z1,none,30,0.06666666666666667,0.006002948924667306,0.0,0.006002948924667306,True
0.05,Z1,shuffle_probe,30,0.03333333333333333,-0.003734197372683772,0.0,-0.003734197372683772,False
0.05,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.05,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.05,Z2,none,30,0.03333333333333333,0.0090713140737017,0.007262962962962962,0.0018083511107387354,True
0.05,Z2,shuffle_probe,30,0.03333333333333333,-0.003734197372683772,0.008290740740740741,-0.012024938113424512,False
0.05,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.05,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555555,-0.007555555555555555,False
0.05,Z3,none,30,0.1,0.016539708819069243,0.028235679682978874,-0.011695970863909633,True
0.05,Z3,shuffle_probe,30,0.03333333333333333,-0.003734197372683772,0.031064526378666912,-0.03479872375135069,False
0.05,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111113,-0.019086111111111113,False
0.05,Z3,wrong_mode_probe,30,0.03333333333333333,-0.0090713140737017,0.023709749214737504,-0.0327810632884392,False
0.075,Z1,none,30,0.06666666666666667,0.009799366411092105,0.0,0.009799366411092105,True
0.075,Z1,shuffle_probe,30,0.03333333333333333,-0.003337828573981921,0.0,-0.003337828573981921,False
0.075,Z1,synthetic_noise,30,0.0,0.0,0.0,0.0,False
0.075,Z1,wrong_mode_probe,30,0.0,0.0,0.0,0.0,False
0.075,Z2,none,30,0.03333333333333333,0.012399701096901188,0.007262962962962962,0.005136738133938223,True
0.075,Z2,shuffle_probe,30,0.03333333333333333,-0.003337828573981921,0.008290740740740741,-0.011628569314722663,False
0.075,Z2,synthetic_noise,30,0.0,0.0,0.01983703703703704,-0.01983703703703704,False
0.075,Z2,wrong_mode_probe,30,0.0,0.0,0.007555555555555555,-0.007555555555555555,False
0.075,Z3,none,30,0.1,0.019075358244865028,0.028235679682978874,-0.009160321438113846,True
0.075,Z3,shuffle_probe,30,0.03333333333333333,-0.003337828573981921,0.031064526378666912,-0.03440235495264884,False
0.075,Z3,synthetic_noise,30,0.0,0.0,0.019086111111111113,-0.019086111111111113,False
0.075,Z3,wrong_mode_probe,30,0.03333333333333333,-0.012399701096901188,0.023709749214737504,-0.03610945031163869,False
0.1,Z1,none,30,0.06666666666666667,0.015548288441642567,0.0,0.015548288441642567,True
0.1,Z1,shuffle_probe,30,0.03333333333333333,-0.0042716236669818565,0.0,-0.0042716236669818565,False
