instance_id,repo,version,created_at,difficulty,declared_mode,routing_domain_cluster,observable_mode,gold_domain_cluster,repair_shape,semantic_cluster_k10,problem_chars,hints_chars,has_hints,code_block_count,mentions_traceback,mentions_exception,fail_to_pass_count,pass_to_pass_count,test_patch_files,test_patch_changed_lines,patch_files,patch_hunks,patch_additions,patch_deletions,patch_changed_lines,patch_exts,patch_top_dirs,patch_touches_tests,patch_touches_docs,patch_touches_migrations,kw_web_orm_config,kw_symbolic_math,kw_array_numeric_ml,kw_docs_rendering,kw_plotting_visual,kw_test_lint_tooling,kw_http_io_packaging,kw_compatibility_errors,kw_parser_serialization
astropy__astropy-12907,astropy/astropy,4.3,2022-03-03T15:14:54Z,15 min - 1 hour,repo_family,scientific_array_modeling,web_orm_config,array_shape_dtype_semantics,micro_single_file,9,1246,0,False,8,False,False,2,13,1,19,1,1,1,1,2,{'.py': 1},{'astropy': 1},False,False,False,1,1,1,0,0,0,0,0,0
astropy__astropy-13033,astropy/astropy,4.3,2022-03-31T23:28:27Z,15 min - 1 hour,dependency_config,scientific_array_modeling,test_lint_tooling,scientific_array_modeling,small_local,8,2790,4032,True,5,False,True,1,20,1,8,1,2,11,3,14,{'.py': 1},{'astropy': 1},False,False,False,1,0,1,3,3,4,2,2,3
astropy__astropy-13236,astropy/astropy,5.0,2022-05-09T14:16:30Z,15 min - 1 hour,semantic_api,scientific_array_modeling,array_numeric_ml,array_shape_dtype_semantics,small_local,8,2057,701,True,2,False,False,2,644,2,44,1,1,0,7,7,{'.py': 1},{'astropy': 1},False,False,False,1,0,3,1,0,1,0,1,1
astropy__astropy-13398,astropy/astropy,5.0,2022-06-24T15:22:11Z,1-4 hours,semantic_api,scientific_array_modeling,array_numeric_ml,large_scientific_array_modeling,broad_multi_file_or_large,8,5323,14211,True,2,True,True,4,68,1,164,4,8,202,13,215,{'.py': 4},{'astropy': 4},False,False,False,2,3,4,2,0,1,1,2,3
astropy__astropy-13453,astropy/astropy,5.0,2022-07-14T10:04:40Z,15 min - 1 hour,dependency_config,scientific_array_modeling,plotting_visual,scientific_array_modeling,micro_single_file,8,7910,7259,True,14,False,False,1,9,1,43,1,1,2,0,2,{'.py': 1},{'astropy': 1},False,False,False,1,0,1,3,4,0,3,1,4
astropy__astropy-13579,astropy/astropy,5.0,2022-08-26T15:06:53Z,1-4 hours,dependency_config,scientific_array_modeling,array_numeric_ml,array_shape_dtype_semantics,micro_single_file,8,4822,657,True,11,False,False,1,40,1,36,1,2,3,1,4,{'.py': 1},{'astropy': 1},False,False,False,1,1,4,1,4,0,1,1,3
astropy__astropy-13977,astropy/astropy,5.1,2022-11-01T22:24:58Z,15 min - 1 hour,dependency_config,scientific_array_modeling,array_numeric_ml,array_shape_dtype_semantics,broad_multi_file_or_large,8,3762,976,True,10,False,True,20,322,2,127,1,1,56,39,95,{'.py': 1},{'astropy': 1},False,False,False,0,1,3,2,0,0,1,3,0
astropy__astropy-14096,astropy/astropy,5.1,2022-12-04T17:06:07Z,15 min - 1 hour,semantic_api,scientific_array_modeling,compatibility_errors,scientific_array_modeling,small_local,9,982,947,True,4,True,True,1,426,1,18,1,1,2,4,6,{'.py': 1},{'astropy': 1},False,False,False,1,1,0,0,0,0,0,2,1
astropy__astropy-14182,astropy/astropy,5.1,2022-12-16T11:13:37Z,15 min - 1 hour,semantic_api,scientific_array_modeling,http_io_packaging,scientific_array_modeling,medium_local,9,1871,0,False,2,True,True,1,9,1,28,1,3,31,10,41,{'.py': 1},{'astropy': 1},False,False,False,1,0,0,1,0,0,2,2,1
astropy__astropy-14309,astropy/astropy,5.1,2023-01-23T22:34:01Z,<15 min fix,dependency_config,scientific_array_modeling,parser_serialization,scientific_array_modeling,micro_single_file,8,4910,24,True,5,True,True,1,141,1,14,1,1,2,3,5,{'.py': 1},{'astropy': 1},False,False,False,1,0,2,0,3,0,0,3,4
astropy__astropy-14365,astropy/astropy,5.1,2023-02-06T19:20:34Z,15 min - 1 hour,dependency_config,scientific_array_modeling,docs_rendering,scientific_array_modeling,micro_single_file,8,1339,1547,True,4,True,True,1,8,1,15,1,2,2,2,4,{'.py': 1},{'astropy': 1},False,False,False,1,0,1,4,2,1,2,3,2
astropy__astropy-14369,astropy/astropy,5.1,2023-02-06T21:56:51Z,1-4 hours,dependency_config,scientific_array_modeling,parser_serialization,scientific_array_modeling,broad_multi_file_or_large,8,2597,2157,True,6,False,False,3,732,1,8,2,5,32,33,65,{'.py': 2},{'astropy': 2},False,False,False,1,0,1,2,0,1,2,1,5
astropy__astropy-14508,astropy/astropy,5.1,2023-03-09T11:08:51Z,15 min - 1 hour,dependency_config,scientific_array_modeling,parser_serialization,scientific_array_modeling,medium_local,8,2629,675,True,4,False,False,1,174,1,21,1,1,5,19,24,{'.py': 1},{'astropy': 1},False,False,False,1,0,2,1,2,1,1,1,3
astropy__astropy-14539,astropy/astropy,5.1,2023-03-16T18:45:19Z,15 min - 1 hour,dependency_config,scientific_array_modeling,array_numeric_ml,array_shape_dtype_semantics,micro_single_file,8,1463,676,True,4,False,False,2,46,1,25,1,1,1,1,2,{'.py': 1},{'astropy': 1},False,False,False,1,0,4,0,2,0,0,1,2
